nohup: ignoring input
end2end.sh: line 2: cudaid: command not found
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive --meta
0 1759180892.0083375 0.1316516399383545
1 1759180892.0644746 0.05602693557739258
2 1759180892.120245 0.05565690994262695
3 1759180892.1770096 0.05667400360107422
4 1759180892.2450385 0.06792902946472168
5 1759180892.305711 0.0605769157409668
6 1759180892.3624816 0.056671142578125
7 1759180892.4251783 0.06257033348083496
8 1759180892.48683 0.06155085563659668
9 1759180892.550958 0.06403660774230957
10 1759180892.6089249 0.05787944793701172
11 1759180892.6714325 0.06241726875305176
12 1759180892.7273695 0.05584573745727539
13 1759180892.7893245 0.061867475509643555
14 1759180892.847298 0.057883262634277344
15 1759180892.9206047 0.07321500778198242
16 1759180892.9762022 0.055509328842163086
17 1759180893.0384963 0.06219887733459473
18 1759180893.1033497 0.06476545333862305
19 1759180893.2073948 0.10395240783691406
20 1759180893.2766263 0.06912732124328613
21 1759180893.3419545 0.06522774696350098
22 1759180893.3975427 0.05549049377441406
23 1759180893.4579449 0.0603032112121582
24 1759180893.5145907 0.05654454231262207
25 1759180893.571438 0.05674934387207031
26 1759180893.6373968 0.06586599349975586
27 1759180893.7332823 0.0957794189453125
28 1759180893.795977 0.06258511543273926
29 1759180893.8594263 0.0633542537689209
30 1759180893.9269907 0.06746482849121094
31 1759180893.9886172 0.061524391174316406
32 1759180894.0510054 0.06227564811706543
33 1759180894.1117785 0.06067538261413574
34 1759180894.1695178 0.057642221450805664
35 1759180894.2563658 0.08675956726074219
36 1759180894.313334 0.056878089904785156
37 1759180894.3745706 0.06113862991333008
38 1759180894.4347162 0.06004595756530762
39 1759180894.5048037 0.06998634338378906
40 1759180894.566296 0.061394691467285156
41 1759180894.631431 0.06503486633300781
42 1759180894.693841 0.06232118606567383
43 1759180894.756545 0.06261253356933594
44 1759180894.8223772 0.06574416160583496
45 1759180894.8870595 0.06458234786987305
46 1759180894.946458 0.05930948257446289
47 1759180895.014695 0.06813192367553711
48 1759180895.0727608 0.057969093322753906
49 1759180895.2194262 0.14655137062072754
50 1759180895.2811913 0.06165623664855957
51 1759180895.3593016 0.07800650596618652
52 1759180895.4161003 0.05670666694641113
53 1759180895.4808393 0.06460261344909668
54 1759180895.5409486 0.06002068519592285
55 1759180895.604321 0.06327199935913086
56 1759180895.664512 0.060089826583862305
57 1759180895.7226174 0.05800914764404297
58 1759180895.785508 0.06279301643371582
59 1759180895.8579192 0.07232260704040527
60 1759180895.920948 0.06293654441833496
61 1759180895.981044 0.06000542640686035
62 1759180896.0388818 0.05773162841796875
63 1759180896.100244 0.06125330924987793
64 1759180896.1567318 0.05637764930725098
65 1759180896.2163043 0.05947303771972656
66 1759180896.2767408 0.0603480339050293
67 1759180896.3358772 0.05904793739318848
68 1759180896.3974996 0.06153392791748047
69 1759180896.4559393 0.058348655700683594
70 1759180896.519469 0.06343245506286621
71 1759180896.5873883 0.06781268119812012
72 1759180896.6582086 0.07072091102600098
73 1759180896.7219222 0.06361150741577148
74 1759180896.7815015 0.05948615074157715
75 1759180896.8390496 0.05746006965637207
76 1759180896.9403157 0.10117220878601074
77 1759180897.0147278 0.07430553436279297
78 1759180897.1043134 0.08948493003845215
79 1759180897.1638541 0.05945014953613281
80 1759180897.2276525 0.06370925903320312
81 1759180897.292359 0.06461715698242188
82 1759180897.3606656 0.0682070255279541
83 1759180897.4194686 0.0587010383605957
84 1759180897.4820783 0.0625002384185791
85 1759180897.5423286 0.06010580062866211
86 1759180897.6046162 0.0621953010559082
87 1759180897.6673353 0.06261301040649414
88 1759180897.7322407 0.06479883193969727
89 1759180897.8486664 0.11631917953491211
90 1759180897.9156363 0.06687808036804199
