cast_info,movie_info,movie_keyword,movie_companies,title#title.id=cast_info.movie_id,title.id=movie_info.movie_id,title.id=movie_keyword.movie_id,title.id=movie_companies.movie_id#cast_info.role_id,<,6,movie_info.info_type_id,<,16,movie_keyword.keyword_id,<,117,title.production_year,<,29,title.season_nr,=,0,title.phonetic_code,<,11376,title.imdb_index,=,0#75072
movie_keyword,movie_info,cast_info,movie_companies,title#title.id=movie_keyword.movie_id,title.id=movie_info.movie_id,title.id=cast_info.movie_id,title.id=movie_companies.movie_id#movie_keyword.keyword_id,>,347,movie_info.info_type_id,<,105,cast_info.nr_order,<,9,movie_companies.company_type_id,<,2,title.episode_nr,>,0,title.production_year,>,124,title.phonetic_code,>,3201#22875385
movie_keyword,cast_info,movie_info_idx,movie_companies,title#title.id=movie_keyword.movie_id,title.id=cast_info.movie_id,title.id=movie_info_idx.movie_id,title.id=movie_companies.movie_id#movie_keyword.keyword_id,>,355,cast_info.role_id,=,1,movie_info_idx.info_type_id,=,101,movie_companies.company_type_id,=,1,title.series_years,>,0,title.imdb_index,=,0,title.production_year,>,119#291424
movie_info_idx,movie_companies,movie_keyword,movie_info,title#title.id=movie_info_idx.movie_id,title.id=movie_companies.movie_id,title.id=movie_keyword.movie_id,title.id=movie_info.movie_id#movie_info_idx.info_type_id,>,99,movie_companies.company_type_id,=,2,movie_keyword.keyword_id,>,359,movie_info.info_type_id,<,8,title.imdb_index,>,0,title.production_year,<,109,title.phonetic_code,<,259#3874
movie_keyword,movie_companies,cast_info,movie_info_idx,title#title.id=movie_keyword.movie_id,title.id=movie_companies.movie_id,title.id=cast_info.movie_id,title.id=movie_info_idx.movie_id#movie_keyword.keyword_id,>,186,movie_companies.company_type_id,>,1,cast_info.role_id,>,1,movie_info_idx.info_type_id,=,99,title.imdb_index,>,0,title.production_year,>,88,title.kind_id,=,1#12348312
movie_keyword,movie_companies,cast_info,movie_info_idx,title#title.id=movie_keyword.movie_id,title.id=movie_companies.movie_id,title.id=cast_info.movie_id,title.id=movie_info_idx.movie_id#movie_keyword.keyword_id,<,115016,movie_companies.company_type_id,>,1,movie_info_idx.info_type_id,>,99,title.episode_nr,>,0,title.kind_id,>,1,title.production_year,<,123,title.phonetic_code,<,3060#7337056
movie_keyword,movie_info_idx,cast_info,title#title.id=movie_keyword.movie_id,title.id=movie_info_idx.movie_id,title.id=cast_info.movie_id#movie_keyword.keyword_id,<,80040,movie_info_idx.info_type_id,=,101,cast_info.nr_order,>,0,title.series_years,>,0,title.phonetic_code,<,8047,title.episode_nr,<,5,title.production_year,>,88#147167
movie_companies,cast_info,movie_info_idx,title#title.id=movie_companies.movie_id,title.id=cast_info.movie_id,title.id=movie_info_idx.movie_id#movie_companies.company_type_id,=,2,cast_info.nr_order,>,0,movie_info_idx.info_type_id,>,99,title.phonetic_code,>,16722,title.series_years,>,0,title.kind_id,<,4,title.imdb_index,=,0#48980
movie_companies,movie_keyword,cast_info,movie_info,title#title.id=movie_companies.movie_id,title.id=movie_keyword.movie_id,title.id=cast_info.movie_id,title.id=movie_info.movie_id#movie_companies.company_type_id,<,2,cast_info.role_id,=,10,movie_info.info_type_id,<,98,title.kind_id,=,7,title.episode_nr,>,3,title.season_nr,>,4,title.production_year,>,125#1007772
movie_info,movie_companies,movie_info_idx,title#title.id=movie_info.movie_id,title.id=movie_companies.movie_id,title.id=movie_info_idx.movie_id#movie_info.info_type_id,<,16,movie_companies.company_type_id,<,2,movie_info_idx.info_type_id,<,101,title.production_year,>,126,title.phonetic_code,>,6118,title.kind_id,>,1,title.season_nr,>,0#13906
