comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.CommentCount,>=,0,p.CommentCount,<=,9,p.CreationDate,<=,1408968521#113550
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.Score,>=,0,p.Score,<=,74,p.CreationDate,>=,1280387138#81233
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410522161,p.ViewCount,>=,0,p.AnswerCount,>=,0#90539
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,<=,86,p.AnswerCount,>=,0,p.AnswerCount,<=,4,p.CreationDate,>=,1280802517,p.CreationDate,<=,1409161456#86379
comments c,posts p#c.PostId=p.Id#p.AnswerCount,>=,0,p.AnswerCount,<=,5#89230
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1280324621,c.CreationDate,<=,1410441681,p.Score,>=,0,p.ViewCount,>=,0,p.ViewCount,<=,1982,p.CommentCount,>=,0,p.CreationDate,>=,1280911161#82804
comments c,posts p#c.PostId=p.Id#p.CreationDate,<=,1410485213#174110
comments c,posts p#c.PostId=p.Id#p.AnswerCount,>=,0,p.CommentCount,>=,0#90677
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.CreationDate,<=,1409848185#133752
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2#83586
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,>=,1279907946,p.CommentCount,>=,0#134671
comments c,posts p#c.PostId=p.Id#p.Score,<=,71#173908
comments c,posts p#c.PostId=p.Id#p.Score,>=,-2,p.CommentCount,<=,12#163102
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.CreationDate,>=,1279904548#90383
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1279775740,c.CreationDate,<=,1410299983,p.Score,>=,-4,p.Score,<=,18,p.ViewCount,<=,4237,p.CreationDate,>=,1285188800#86026
comments c,posts p#c.PostId=p.Id#p.Score,>=,-3,p.CommentCount,>=,0,p.CreationDate,>=,1233584744,p.CreationDate,<=,1410066942#172928
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0,p.CreationDate,>=,1279843488,p.CreationDate,<=,1409779239#89468
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.Score,>=,-3#134738
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,<=,25,p.AnswerCount,<=,8,p.CommentCount,>=,0,p.CommentCount,<=,16#87614
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.Score,>=,-1,p.Score,<=,19,p.CreationDate,<=,1409403530#79807
comments c,posts p#c.PostId=p.Id#p.AnswerCount,<=,6,p.CommentCount,>=,0#89673
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,>=,-1,p.Score,<=,16,p.CommentCount,<=,10#79707
