comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1409872209,p.FavoriteCount,>=,0#31439
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.AnswerCount,<=,5#66260
comments c,posts p#c.PostId=p.Id#p.AnswerCount,>=,0,p.AnswerCount,<=,5#89230
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0,p.FavoriteCount,<=,6#29009
comments c,posts p#c.PostId=p.Id#p.AnswerCount,>=,0,p.CommentCount,>=,0#90677
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.CreationDate,<=,1409848185#133752
comments c,posts p#c.PostId=p.Id#p.Score,>=,-2,p.CommentCount,<=,12#163102
comments c,posts p#c.PostId=p.Id#p.CommentCount,<=,9,p.FavoriteCount,<=,6#24297
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.FavoriteCount,>=,0#22415
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.AnswerCount,>=,0#67056
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.CreationDate,>=,1279904548#90383
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.Score,>=,-3#134738
comments c,posts p#c.PostId=p.Id#p.AnswerCount,<=,6,p.CommentCount,>=,0#89673
comments c,posts p#c.PostId=p.Id#p.Score,>=,-1,p.ViewCount,<=,5068#88336
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,>=,0#89256
comments c,posts p#c.PostId=p.Id#p.ViewCount,<=,3004,p.CommentCount,<=,30#86853
comments c,posts p#c.PostId=p.Id#p.ViewCount,<=,1571,p.CommentCount,<=,16#81341
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1281119434,c.CreationDate,<=,1410491626#172776
comments c,posts p#c.PostId=p.Id#p.FavoriteCount,>=,0,p.CreationDate,<=,1410537379#31599
comments c,posts p#c.PostId=p.Id#p.Score,>=,-1,p.FavoriteCount,<=,7#29386
comments c,posts p#c.PostId=p.Id#p.Score,>=,0,p.Score,<=,24#169042
comments c,posts p#c.PostId=p.Id#p.Score,>=,-3,p.CommentCount,>=,0#174017
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.CreationDate,<=,1409752700#89676
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.Score,>=,0#24524
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0,p.ViewCount,<=,16696#90261
comments c,posts p#c.PostId=p.Id#p.Score,>=,0,p.CreationDate,<=,1410459241#171402
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410273217,p.PostTypeId,=,1#90170
comments c,posts p#c.PostId=p.Id#c.CreationDate,=,1394160778,p.ViewCount,<=,2720#1
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410652350,p.PostTypeId,=,2#83574
comments c,posts p#c.PostId=p.Id#p.AnswerCount,>=,0,p.AnswerCount,<=,6#89673
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.FavoriteCount,<=,8#29796
comments c,posts p#c.PostId=p.Id#p.Score,>=,0,p.ViewCount,<=,2583#84994
comments c,posts p#c.PostId=p.Id#p.Score,>=,-1,p.CreationDate,>=,1284121989#169418
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.AnswerCount,>=,0#67056
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0,p.CommentCount,<=,13#165877
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410365961,p.FavoriteCount,=,0#2128
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0,p.FavoriteCount,=,0#2133
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1282564365,p.ViewCount,<=,3353#87079
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0,p.FavoriteCount,>=,0#31599
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.CommentCount,>=,0#90677
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1281599746,p.CommentCount,<=,7#132147
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.CommentCount,<=,11#123627
comments c,posts p#c.PostId=p.Id#c.Score,=,3,p.FavoriteCount,=,0#46
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.PostTypeId,=,2#67822
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410406209,p.PostTypeId,=,2#83391
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.CommentCount,>=,0#83586
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.FavoriteCount,>=,0#22415
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.AnswerCount,<=,19#67014
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.FavoriteCount,=,0#366
comments c,posts p#c.PostId=p.Id#p.AnswerCount,>=,0,p.AnswerCount,<=,6#89673
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,<=,1410279789#134164
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410098022,p.PostTypeId,=,2#82987
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.AnswerCount,=,0#4477
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1409789012,p.Score,<=,30#170644
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.ViewCount,<=,4410#65837
comments c,posts p#c.PostId=p.Id#c.CreationDate,=,1293126950,p.Score,<=,23#1
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.FavoriteCount,=,0#1563
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.CreationDate,<=,1408482288#88150
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.FavoriteCount,<=,4#20008
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0,p.CreationDate,<=,1409486098#89296
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.CommentCount,<=,8#68556
comments c,posts p#c.PostId=p.Id#p.AnswerCount,<=,4,p.CreationDate,>=,1280220145#88195
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,<=,1409713279#133168
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.CreationDate,<=,1410514033#83516
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.CreationDate,>=,1279590456#83387
