comments c,posts p#c.PostId=p.Id#p.CreationDate,<=,1410485213#174110
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2#83586
comments c,posts p#c.PostId=p.Id#p.Score,<=,71#173908
comments c,posts p#c.PostId=p.Id#p.Score,<=,25#171861
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410643872#174277
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0#90677
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1#90677
comments c,posts p#c.PostId=p.Id#p.CommentCount,<=,16#170220
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1#90677
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#c.Score,=,1#25003
comments c,posts p#c.PostId=p.Id#p.ViewCount,<=,3795#88098
comments c,posts p#c.PostId=p.Id#p.Score,>=,0#171645
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1#90677
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2#83586
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2#83586
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1#90677
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1#90677
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0#90677
comments c,posts p#c.PostId=p.Id#p.CreationDate,>=,1279710044#173703
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#p.CommentCount,<=,16#170220
comments c,posts p#c.PostId=p.Id#p.Score,<=,31#172603
comments c,posts p#c.PostId=p.Id#p.CreationDate,>=,1280177136#173283
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410518405#174043
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2#83586
comments c,posts p#c.PostId=p.Id#p.AnswerCount,<=,3#86335
comments c,posts p#c.PostId=p.Id#p.Score,>=,-1#173179
comments c,posts p#c.PostId=p.Id#p.FavoriteCount,>=,0#31599
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1409402947#171545
comments c,posts p#c.PostId=p.Id#p.FavoriteCount,<=,2#23389
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#p.Score,<=,14#167628
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#c.Score,=,2#8362
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1#90677
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#p.ViewCount,<=,6191#89313
comments c,posts p#c.PostId=p.Id#p.CommentCount,<=,11#160300
comments c,posts p#c.PostId=p.Id#p.AnswerCount,>=,0#90677
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0#90677
comments c,posts p#c.PostId=p.Id#p.CommentCount,<=,15#168988
comments c,posts p#c.PostId=p.Id#p.FavoriteCount,>=,0#31599
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2#83586
comments c,posts p#c.PostId=p.Id#p.FavoriteCount,=,0#2133
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1280180554#173767
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410274408#173432
comments c,posts p#c.PostId=p.Id#p.ViewCount,<=,1396#82299
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#c.Score,=,1#25003
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#p.CommentCount,<=,8#143111
comments c,posts p#c.PostId=p.Id#p.CommentCount,<=,11#160300
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#p.FavoriteCount,=,0#2133
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1#90677
comments c,posts p#c.PostId=p.Id#p.FavoriteCount,<=,15#30772
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1284898513#171213
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1409687349#172124
comments c,posts p#c.PostId=p.Id#p.Score,<=,25#171861
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#p.AnswerCount,>=,0#90677
comments c,posts p#c.PostId=p.Id#p.Score,>=,-5#174206
comments c,posts p#c.PostId=p.Id#c.CreationDate,=,1392594819#1
comments c,posts p#c.PostId=p.Id#p.Score,<=,99#174128
comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0#174305
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1#90677
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
comments c,posts p#c.PostId=p.Id#p.Score,>=,0#171645
comments c,posts p#c.PostId=p.Id#c.CreationDate,=,1338691034#1
comments c,posts p#c.PostId=p.Id#p.ViewCount,<=,8867#89794
comments c,posts p#c.PostId=p.Id#p.CommentCount,<=,10#156307
comments c,posts p#c.PostId=p.Id#p.CommentCount,<=,21#172688
comments c,posts p#c.PostId=p.Id#p.AnswerCount,=,4#2001
comments c,posts p#c.PostId=p.Id#p.Score,<=,11#164263
comments c,posts p#c.PostId=p.Id#c.Score,=,1#25003
comments c,posts p#c.PostId=p.Id#p.FavoriteCount,>=,0#31599
comments c,posts p#c.PostId=p.Id#p.Score,<=,18#170114
comments c,posts p#c.PostId=p.Id#p.CreationDate,<=,1410355540#173805
comments c,posts p#c.PostId=p.Id#p.AnswerCount,<=,5#89230
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0#90677
comments c,posts p#c.PostId=p.Id#c.Score,=,0#134887
badges b,users u#b.UserId=u.Id#u.Views,>=,0#79851
badges b,users u#b.UserId=u.Id#b.Date,<=,1409254156#78440
badges b,users u#b.UserId=u.Id#u.Reputation,>=,1#79851
badges b,users u#b.UserId=u.Id#u.CreationDate,>=,1280912252#74091
badges b,users u#b.UserId=u.Id#u.Views,=,0#11599
badges b,users u#b.UserId=u.Id#u.UpVotes,>=,0#79851
badges b,users u#b.UserId=u.Id#b.Date,<=,1409927065#79116
badges b,users u#b.UserId=u.Id#u.Views,>=,0#79851
badges b,users u#b.UserId=u.Id#b.Date,<=,1410271121#79418
badges b,users u#b.UserId=u.Id#u.Views,=,0#11599
badges b,users u#b.UserId=u.Id#u.Reputation,<=,328#58650
badges b,users u#b.UserId=u.Id#u.Reputation,<=,163#50113
badges b,users u#b.UserId=u.Id#u.UpVotes,>=,0#79851
badges b,users u#b.UserId=u.Id#b.Date,>=,1280271227#79013
badges b,users u#b.UserId=u.Id#b.Date,>=,1279568946#79758
badges b,users u#b.UserId=u.Id#u.Views,<=,204#69547
badges b,users u#b.UserId=u.Id#u.Views,<=,18#50895
badges b,users u#b.UserId=u.Id#b.Date,>=,1281609897#78546
badges b,users u#b.UserId=u.Id#b.Date,=,1324402375#1
badges b,users u#b.UserId=u.Id#u.UpVotes,<=,24#59393
badges b,users u#b.UserId=u.Id#u.CreationDate,<=,1406823059#78115
badges b,users u#b.UserId=u.Id#u.DownVotes,<=,0#62294
badges b,users u#b.UserId=u.Id#u.DownVotes,<=,0#62294
badges b,users u#b.UserId=u.Id#b.Date,<=,1409491496#78633
badges b,users u#b.UserId=u.Id#u.CreationDate,>=,1279588147#77842
badges b,users u#b.UserId=u.Id#u.UpVotes,<=,152#69737
badges b,users u#b.UserId=u.Id#u.CreationDate,<=,1408118252#78828
badges b,users u#b.UserId=u.Id#b.Date,<=,1409096390#78225
badges b,users u#b.UserId=u.Id#u.UpVotes,=,0#26948
badges b,users u#b.UserId=u.Id#u.Reputation,<=,941#67327
badges b,users u#b.UserId=u.Id#b.Date,>=,1280172821#79253
badges b,users u#b.UserId=u.Id#u.Reputation,=,183#99
badges b,users u#b.UserId=u.Id#u.UpVotes,<=,26#59945
badges b,users u#b.UserId=u.Id#u.UpVotes,>=,0#79851
badges b,users u#b.UserId=u.Id#b.Date,<=,1409218752#78373
badges b,users u#b.UserId=u.Id#u.DownVotes,>=,0#79851
badges b,users u#b.UserId=u.Id#u.CreationDate,<=,1406543764#77923
badges b,users u#b.UserId=u.Id#u.UpVotes,>=,0#79851
