comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.CommentCount,>=,0,p.CommentCount,<=,9,p.CreationDate,<=,1408968521#113550
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1280419848,c.CreationDate,<=,1410450810,p.CommentCount,>=,0,p.FavoriteCount,>=,0#31304
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.Score,>=,0,p.Score,<=,74,p.CreationDate,>=,1280387138#81233
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410640459,p.ViewCount,>=,0,p.CommentCount,<=,13,p.FavoriteCount,<=,4#25990
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410443461,p.Score,=,1,p.CreationDate,>=,1285659633,p.CreationDate,<=,1408699925#36681
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.FavoriteCount,>=,0,p.FavoriteCount,<=,8,p.CreationDate,>=,1281064933#21231
comments c,posts p#c.PostId=p.Id#p.Score,>=,0,p.ViewCount,>=,0,p.ViewCount,<=,13526,p.AnswerCount,=,2#15348
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.ViewCount,>=,0,p.ViewCount,<=,5739,p.CreationDate,>=,1280250735#66051
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.Score,>=,0,p.Score,<=,53,p.CommentCount,=,2#3910
comments c,posts p#c.PostId=p.Id#c.CreationDate,=,1300324399,p.PostTypeId,=,1,p.AnswerCount,<=,3,p.CommentCount,>=,0#1
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1282035265,p.PostTypeId,=,1,p.AnswerCount,<=,4,p.FavoriteCount,<=,5#27248
comments c,posts p#c.PostId=p.Id#p.Score,>=,-3,p.CommentCount,>=,0,p.CreationDate,>=,1233584744,p.CreationDate,<=,1410066942#172928
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,<=,1410266850,p.CommentCount,>=,0,p.FavoriteCount,<=,5#20502
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.Score,=,0,p.ViewCount,>=,0,p.ViewCount,<=,5744#3074
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.AnswerCount,>=,0,p.CommentCount,<=,9,p.CreationDate,<=,1409410489#12733
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.Score,>=,-1,p.Score,<=,19,p.CreationDate,<=,1409403530#79807
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,>=,-1,p.Score,<=,16,p.CommentCount,<=,10#79707
comments c,posts p#c.PostId=p.Id#p.Score,<=,17,p.ViewCount,<=,8826,p.AnswerCount,<=,5,p.CreationDate,>=,1279575602#87822
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,<=,1409639265,p.ViewCount,<=,4186,p.AnswerCount,=,0#22769
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.PostTypeId,=,1,p.FavoriteCount,>=,0,p.FavoriteCount,<=,3#18974
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.AnswerCount,>=,0,p.AnswerCount,<=,5,p.CreationDate,>=,1280325706#66109
