comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1280472580,p.PostTypeId,=,1,p.ViewCount,=,117,p.CommentCount,>=,0,p.CreationDate,<=,1408524312#235
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,>=,-2,p.Score,<=,36,p.ViewCount,=,35,p.CommentCount,>=,0#372
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.Score,<=,26,p.ViewCount,>=,0,p.FavoriteCount,>=,0,p.CreationDate,<=,1409963329#21910
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,>=,1280272971,p.Score,>=,-1,p.Score,<=,14,p.AnswerCount,<=,6#65062
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1279636720,p.AnswerCount,<=,4,p.CommentCount,>=,0,p.CommentCount,<=,11,p.FavoriteCount,<=,12#26577
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,<=,1409757905,p.ViewCount,>=,0,p.CreationDate,>=,1279571423,p.CreationDate,<=,1410633871#66094
comments c,posts p#c.PostId=p.Id#p.Score,<=,16,p.AnswerCount,>=,0,p.CommentCount,>=,0,p.CommentCount,<=,11,p.FavoriteCount,<=,39#27122
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1280363164,p.CommentCount,<=,13,p.FavoriteCount,>=,0,p.FavoriteCount,<=,55,p.CreationDate,>=,1280426791#29206
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,<=,25,p.AnswerCount,<=,8,p.CommentCount,>=,0,p.CommentCount,<=,16#87614
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1281377155,c.CreationDate,<=,1410127133,p.AnswerCount,<=,56,p.CommentCount,>=,0,p.CommentCount,<=,8#73572
comments c,posts p#c.PostId=p.Id#p.Score,>=,-2,p.Score,<=,13,p.ViewCount,<=,4156,p.AnswerCount,>=,0,p.FavoriteCount,>=,0#27564
comments c,posts p#c.PostId=p.Id#p.AnswerCount,<=,6,p.CommentCount,>=,0,p.CommentCount,<=,19,p.CreationDate,>=,1281120146,p.CreationDate,<=,1409833369#87442
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0,p.ViewCount,<=,3812,p.CommentCount,<=,15,p.FavoriteCount,>=,0,p.FavoriteCount,<=,15#27995
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1408670865,p.Score,>=,-3,p.FavoriteCount,>=,0,p.FavoriteCount,<=,7,p.CreationDate,>=,1280331158#28842
comments c,posts p#c.PostId=p.Id#c.Score,=,1,c.CreationDate,>=,1280943859,c.CreationDate,<=,1410236800,p.AnswerCount,>=,0,p.AnswerCount,<=,3#13655
comments c,posts p#c.PostId=p.Id#p.Score,>=,-7,p.Score,<=,57,p.ViewCount,<=,4024,p.AnswerCount,<=,5,p.CreationDate,>=,1279717893#87376
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,>=,1278794273,p.FavoriteCount,>=,0,p.FavoriteCount,<=,36,p.CreationDate,>=,1282219089#21844
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1280945657,p.PostTypeId,=,1,p.ViewCount,>=,0,p.ViewCount,<=,67592,p.AnswerCount,<=,14#90138
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.PostTypeId,=,1,p.FavoriteCount,>=,0,p.FavoriteCount,<=,5,p.CreationDate,<=,1410577613#4712
