comments c,posts p#c.PostId=p.Id#p.CommentCount,>=,0,p.FavoriteCount,>=,0,p.FavoriteCount,<=,4#27554
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410522161,p.ViewCount,>=,0,p.AnswerCount,>=,0#90539
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.AnswerCount,>=,0,p.AnswerCount,<=,10#14459
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.PostTypeId,=,2,p.CommentCount,>=,0#10475
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1279576448,p.PostTypeId,=,1,p.ViewCount,=,181#163
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,>=,1279907946,p.CommentCount,>=,0#134671
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410426190,p.FavoriteCount,<=,3,p.CreationDate,<=,1406744318#25290
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,<=,1410639304,p.FavoriteCount,>=,0#22415
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0,p.CreationDate,>=,1279843488,p.CreationDate,<=,1409779239#89468
comments c,posts p#c.PostId=p.Id#c.Score,=,1,p.PostTypeId,=,1,p.AnswerCount,>=,0#14523
comments c,posts p#c.PostId=p.Id#p.Score,>=,-3,p.Score,<=,102,p.AnswerCount,<=,4#88176
comments c,posts p#c.PostId=p.Id#p.FavoriteCount,>=,0,p.FavoriteCount,<=,4,p.CreationDate,>=,1279570895#27527
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,=,2,p.CommentCount,=,2#2040
comments c,posts p#c.PostId=p.Id#p.AnswerCount,>=,0,p.CommentCount,>=,0,p.CommentCount,<=,8#74535
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.AnswerCount,<=,6,p.CreationDate,>=,1280238581#66377
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410383269,p.CommentCount,<=,10,p.CreationDate,>=,1279566959#155737
comments c,posts p#c.PostId=p.Id#p.ViewCount,>=,0,p.ViewCount,<=,17019,p.AnswerCount,>=,0#90272
comments c,posts p#c.PostId=p.Id#p.Score,>=,-1,p.CommentCount,<=,9,p.FavoriteCount,<=,18#25860
comments c,posts p#c.PostId=p.Id#p.Score,<=,14,p.ViewCount,>=,0,p.FavoriteCount,>=,0#28994
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.Score,=,5,p.AnswerCount,>=,0#2965
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1279606472,p.AnswerCount,>=,0,p.AnswerCount,<=,7#89890
comments c,posts p#c.PostId=p.Id#c.CreationDate,<=,1410427226,p.PostTypeId,=,2,p.CreationDate,<=,1410385455#83390
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,<=,23,p.FavoriteCount,=,0#2133
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.CommentCount,>=,0,p.CommentCount,<=,12#126246
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.CreationDate,>=,1279571423,p.CreationDate,<=,1407667879#81003
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,<=,1410315560,p.Score,<=,84#134103
comments c,posts p#c.PostId=p.Id#p.ViewCount,<=,23738,p.AnswerCount,>=,0,p.CommentCount,<=,11#83728
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.Score,<=,27,p.CommentCount,<=,15#129663
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,2,p.CommentCount,<=,8,p.CreationDate,>=,1281036394#67339
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.PostTypeId,=,1,p.FavoriteCount,=,0#1563
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.PostTypeId,=,1,p.AnswerCount,<=,3#64344
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.AnswerCount,>=,0,p.AnswerCount,<=,3#86335
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,>=,1285521080,p.FavoriteCount,=,0#1556
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.FavoriteCount,>=,0,p.FavoriteCount,<=,7#29469
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1280501095,c.CreationDate,<=,1409450163,p.CreationDate,=,1327139005#1
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,>=,-3,p.Score,<=,16#88483
comments c,posts p#c.PostId=p.Id#c.Score,=,4,c.CreationDate,<=,1410529377,p.CommentCount,>=,0#1311
comments c,posts p#c.PostId=p.Id#c.Score,=,1,c.CreationDate,<=,1410384022,p.CreationDate,<=,1409243967#24622
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1280228667,p.ViewCount,>=,0,p.ViewCount,<=,25066#90207
comments c,posts p#c.PostId=p.Id#p.Score,=,1,p.ViewCount,<=,6412,p.FavoriteCount,<=,7#3761
