comments c,posts p#c.PostId=p.Id#c.Score,=,1,c.CreationDate,<=,1410243670,p.Score,>=,0,p.Score,<=,21,p.CommentCount,>=,0,p.FavoriteCount,>=,0,p.FavoriteCount,<=,7#4830
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.Score,<=,37,p.AnswerCount,<=,5,p.CommentCount,>=,0,p.FavoriteCount,>=,0,p.CreationDate,>=,1282097470,p.CreationDate,<=,1408563627#21046
comments c,posts p#c.PostId=p.Id#c.Score,=,0,p.PostTypeId,=,1,p.ViewCount,<=,7939,p.AnswerCount,>=,0,p.AnswerCount,<=,4,p.CommentCount,<=,14,p.FavoriteCount,=,0#1481
comments c,posts p#c.PostId=p.Id#c.CreationDate,=,1400088410,p.PostTypeId,=,1,p.Score,>=,-3,p.Score,<=,11,p.CommentCount,>=,0,p.CommentCount,<=,9,p.CreationDate,>=,1279567692#1
comments c,posts p#c.PostId=p.Id#c.CreationDate,>=,1280324621,c.CreationDate,<=,1410441681,p.Score,>=,0,p.ViewCount,>=,0,p.ViewCount,<=,1982,p.CommentCount,>=,0,p.CreationDate,>=,1280911161#82804
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.ViewCount,>=,0,p.AnswerCount,>=,0,p.CommentCount,>=,0,p.CommentCount,<=,14,p.FavoriteCount,>=,0,p.FavoriteCount,<=,2#22521
comments c,posts p#c.PostId=p.Id#c.Score,=,5,p.ViewCount,>=,0,p.ViewCount,<=,5109,p.AnswerCount,=,0,p.CommentCount,>=,0,p.CommentCount,<=,22,p.FavoriteCount,<=,4#15
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,>=,1233585919,p.Score,=,1,p.ViewCount,>=,0,p.CommentCount,<=,12,p.FavoriteCount,>=,0,p.FavoriteCount,<=,3#2703
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,<=,1410286863,p.Score,=,0,p.AnswerCount,<=,2,p.CommentCount,>=,0,p.CommentCount,<=,13,p.FavoriteCount,<=,6#1591
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,>=,1279593325,c.CreationDate,<=,1409917163,p.ViewCount,>=,0,p.ViewCount,<=,4003,p.AnswerCount,<=,8,p.CreationDate,>=,1280870362#64655
comments c,posts p#c.PostId=p.Id#p.Score,>=,-1,p.Score,<=,15,p.ViewCount,>=,0,p.ViewCount,<=,3522,p.AnswerCount,>=,0,p.AnswerCount,<=,6,p.CreationDate,<=,1409741653#84675
comments c,posts p#c.PostId=p.Id#c.Score,=,4,c.CreationDate,>=,1279878898,c.CreationDate,<=,1410652828,p.Score,<=,37,p.ViewCount,>=,0,p.ViewCount,<=,2732,p.CommentCount,<=,12#709
comments c,posts p#c.PostId=p.Id#c.CreationDate,=,1381637918,p.Score,>=,-4,p.Score,<=,31,p.ViewCount,<=,7079,p.AnswerCount,<=,5,p.CommentCount,>=,0,p.CommentCount,<=,8#1
comments c,posts p#c.PostId=p.Id#p.PostTypeId,=,1,p.Score,>=,-3,p.Score,<=,25,p.AnswerCount,<=,5,p.CommentCount,>=,0,p.CommentCount,<=,14,p.CreationDate,<=,1410453911#85555
comments c,posts p#c.PostId=p.Id#c.Score,=,0,c.CreationDate,>=,1279568779,c.CreationDate,<=,1409851232,p.PostTypeId,=,2,p.CommentCount,>=,0,p.CommentCount,<=,10,p.CreationDate,<=,1410524967#59808
comments c,posts p#c.PostId=p.Id#c.Score,=,3,c.CreationDate,>=,1280532830,c.CreationDate,<=,1410529636,p.ViewCount,=,57,p.CommentCount,>=,0,p.CommentCount,<=,10,p.FavoriteCount,<=,56#2
comments c,posts p#c.PostId=p.Id#p.Score,>=,-4,p.Score,<=,20,p.CommentCount,>=,0,p.FavoriteCount,>=,0,p.FavoriteCount,<=,5,p.CreationDate,>=,1282533133,p.CreationDate,<=,1407448490#27271
